step,mloss,gloss,loss
9100.0,0.0,0.1865,0.1865
9200.0,0.0,0.1853,0.1853
9300.0,0.0,0.1848,0.1848
9400.0,0.0,0.1828,0.1828
9500.0,0.0,0.1815,0.1815
9600.0,0.0,0.1817,0.1817
9700.0,0.0,0.1807,0.1807
9800.0,0.0,0.1798,0.1798
9900.0,0.0,0.1787,0.1787
10000.0,0.0,0.1781,0.1781
10100.0,0.0,0.1778,0.1778
10200.0,0.0,0.1772,0.1772
10300.0,0.0,0.1764,0.1764
10400.0,0.0,0.1793,0.1793
10500.0,0.0,0.1767,0.1767
10600.0,0.0,0.1759,0.1759
10700.0,0.0,0.1762,0.1762
10800.0,0.0,0.1779,0.1779
10900.0,0.0,0.1751,0.1751
11000.0,0.0,0.1734,0.1734
11100.0,0.0,0.1748,0.1748
11200.0,0.0,0.1738,0.1738
11300.0,0.0,0.1734,0.1734
11400.0,0.0,0.1717,0.1717
11500.0,0.0,0.1732,0.1732
11600.0,0.0,0.1688,0.1688
11700.0,0.0,0.1708,0.1708
11800.0,0.0,0.1708,0.1708
11900.0,0.0,0.1704,0.1704
12000.0,0.0,0.1693,0.1693
12100.0,0.0,0.1701,0.1701
12200.0,0.0,0.1704,0.1704
12300.0,0.0,0.1662,0.1662
12400.0,0.0,0.1674,0.1674
12500.0,0.0,0.1699,0.1699
12600.0,0.0,0.1681,0.1681
12700.0,0.0,0.1673,0.1673
12800.0,0.0,0.1699,0.1699
12900.0,0.0,0.1646,0.1646
13000.0,0.0,0.1646,0.1646
13100.0,0.0,0.1657,0.1657
13200.0,0.0,0.1648,0.1648
13300.0,0.0,0.1653,0.1653
13400.0,0.0,0.1663,0.1663
13500.0,0.0,0.1645,0.1645
13600.0,0.0,0.1612,0.1612
13700.0,0.0,0.1631,0.1631
13800.0,0.0,0.1606,0.1606
13900.0,0.0,0.163,0.163
14000.0,0.0,0.1609,0.1609
14100.0,0.0,0.162,0.162
14200.0,0.0,0.1594,0.1594
14300.0,0.0,0.1585,0.1585
14400.0,0.0,0.1601,0.1601
14500.0,0.0,0.1599,0.1599
14600.0,0.0,0.1589,0.1589
14700.0,0.0,0.1605,0.1605
14800.0,0.0,0.1603,0.1603
14900.0,0.0,0.159,0.159
15000.0,0.0,0.1597,0.1597
15100.0,0.0,0.1584,0.1584
15200.0,0.0,0.157,0.157
15300.0,0.0,0.1563,0.1563
15400.0,0.0,0.1579,0.1579
15500.0,0.0,0.1566,0.1566
15600.0,0.0,0.1557,0.1557
15700.0,0.0,0.1567,0.1567
15800.0,0.0,0.1552,0.1552
15900.0,0.0,0.1572,0.1572
16000.0,0.0,0.1546,0.1546
16100.0,0.0,0.1539,0.1539
16200.0,0.0,0.1542,0.1542
16300.0,0.0,0.1542,0.1542
16400.0,0.0,0.1564,0.1564
16500.0,0.0,0.1556,0.1556
16600.0,0.0,0.1528,0.1528
16700.0,0.0,0.1536,0.1536
16800.0,0.0,0.1509,0.1509
16900.0,0.0,0.1522,0.1522
